account,post_url,date_utc,format,likes,comments,video_views,driver_category,caption,hashtags,mentions
databutmakeitfashion,https://www.instagram.com/p/DbTpd6MJLLh/,2026-07-27 18:52:16,Video,10542.0,41,61587.0,Runway/show/collection recap,"ya tú lo sabes!!! ✨💃🏻🇨🇴 here is @jbalvin’s latest collection for colombian brand @velezartisan, showing off the incredible leather craftsmanship and bold aesthetics and overall fashion talent of latin america

such a dream to see in person!!!! thank you for having me in medellín this year @colombiamoda_oficial ✨🤍",,"jbalvin’s, velezartisan, colombiamoda_oficial"
diet_prada,https://www.instagram.com/p/DcQ_Iq1Dq61/,2026-08-20 14:33:16,Image/Carousel,63099.0,982,,Humor/meme/relatable lifestyle,"~nvr 4get~

#fashion #meme #lol #threads #viral","fashion, meme, lol, threads, viral",
diet_prada,https://www.instagram.com/p/DcMN83Slr_v/,2026-08-18 18:06:31,Image/Carousel,53929.0,715,,Death/tragedy,"Hayden Panettiere’s claims that Neutrogena ended their 10-year partnership after she spoke out about postpartum depression are going viral following the actor’s tragic death on Sunday.

In her 2026 memoir ‘This Is Me: A Reckoning’ and interviews during her press tour in May, Panettiere alleged the company fired her for violating a contractual “morals clause” after she opened up about her postpartum experience on ‘Live with Kelly and Michael’ in 2015.

At the time, she called her postpartum struggles “really painful… really scary, and women need a lot of support,” adding, “there’s a lot of misunderstanding, and I feel like there’s a lot of people out there who think that it’s not real.”

In a viral clip from Jay Shetty’s ‘On Purpose’ podcast posted in May, she said being dropped was the last thing she expected, adding that she never planned to discuss postpartum depression on the show, but she “wouldn’t change it for the world.” 

Now, Neutrogena’s social media is flooded with people slamming the brand and calling for a boycott. Swipe through for some of the discourse. 

RIP Hayden 🤍

#haydenpanettiere #neutrogena #boycott #beauty #news","haydenpanettiere, neutrogena, boycott, beauty, news",
diet_prada,https://www.instagram.com/p/DcJhjyXFt9q/,2026-08-17 17:00:08,Image/Carousel,181323.0,2175,,Death/tragedy,"Hayden Panettiere, 36, reportedly passed away Sunday, just five days before her 37th birthday.

“She was an incredible light and a force of nature who brought immeasurable love and joy to all who knew her - and to the millions who watched her onscreen,” her father said in a statement.

Panettiere’s career catapulted with a breakout performance in ‘Remember the Titans,’ followed by iconic roles in film and television, including ‘Heroes,’ the ‘Scream’ franchise, ‘Nashville,’ and more.

In May, the actor released her tell-all memoir, ‘This Is Me: A Reckoning,’ chronicling her life and struggles with depression and addiction following years of abuse in Hollywood.

Clips from her final interview on the ‘On Purpose with Jay Shetty’ podcast are trending. During the conversation, Panettiere opened up about some of the abuse she endured, including a casting she attended at 18 on a boat, where she said she was forced onto a bed with a “famous” naked man. 

She also recalled learning that she had been dropped as the face of Neutrogena after ten years, allegedly because she spoke out about her postpartum depression. That revelation is now sparking calls on social media to boycott the company.

Panettiere also expressed that she was looking forward to a future after “shaking off all of this darkness” and hoped she “had a lot more life to live.” 💔

RIP Hayden 🕊️

#news #hollywood #haydenpanettiere","news, hollywood, haydenpanettiere",
diet_prada,https://www.instagram.com/p/Db_NGRGjkva/,2026-08-13 16:48:56,Image/Carousel,18814.0,486,,Celebrity/pop-culture gossip (off-fashion),"Karoline Leavitt, 28, has reportedly stepped down from her role as the youngest White House press secretary in history to spend more time with her family.

The president broke the news yesterday on Truth Social: “Karoline will now be one of my top outside advisors, and an influential voice within the Republican Party, as we work to defy History, and conclusively win the Midterm Elections,” he posted.

Leavitt confirmed her resignation on X, calling the position “the honor and adventure of a lifetime,” adding she “felt in my heart that I cannot be the best mom my two young children deserve while devoting the constant time, energy, and attention required of the White House Press Secretary.”
 “I am thankful to the President for entrusting me with the distinct privilege of speaking on his behalf at the White House podium,” Leavitt wrote.

While the new press secretary has not been announced, rumors are already swirling. Swipe through to see some of the possible contenders which include a former fashion merchandiser, a beauty queen and a former Wilhelmina model.

#dc #news #threads #press #viral","dc, news, threads, press, viral",
diet_prada,https://www.instagram.com/p/Db8iu2uDqW1/,2026-08-12 16:00:16,Image/Carousel,2926.0,88,,Runway/show/collection recap,"@TheShardsFX may be set in 1981, but the wardrobe feels refreshingly modern. #FXPartner. This is due in part to the fact that the beginning of a new decade is rarely aesthetically cohesive. Instead, it’s a transitional moment when the styles of one era overlap with those of the next—in this case, the late ‘70s, New Wave, and, of course, the emerging aesthetic of the ‘80s. What also makes the wardrobe feel so contemporary is its embrace of preppy style, which is currently experiencing yet another resurgence.

Though preppy style has long been part of the fashion vernacular, the publication of The Official Preppy Handbook in 1980 made the rules governing the subculture visible to a wider audience. More than forty years later, the book feels just as relevant today as it was when it was published. What both The Shards and the book ultimately illustrate is that preppy style has endured because it’s built on the very best versions of timeless wardrobe staples—pieces that look good on just about everyone.

To see just how well it holds up, we sourced both vintage and contemporary pieces that showcase the breadth of the aesthetic while offering inspiration for recreating the look yourself.

@TheShardsFX is now streaming on Hulu.

#theshards #breteastonellis #ryanmurphy #tv","fxpartner, theshards, breteastonellis, ryanmurphy, tv","theshardsfx, theshardsfx"
diet_prada,https://www.instagram.com/p/Db59z9LDk-5/,2026-08-11 15:59:10,Image/Carousel,4061.0,90,,Celebrity styling/endorsement/campaign,"Edible-inspired scents known as gourmand fragrances have taken over #PerfumeTok, fueling a viral comeback for @yslbeauty’s 2014 eau de parfum, Black Opium, based on the 1977 classic. Building on that buzz and a growing appetite for gourmand, YSL Beauty introduces Black Opium Pink Glaze, which puts a spin on the original’s signature coffee-forward scent with playful notes like “juicy strawberry” and “sensual jasmine.”

The brand has tapped Alisha Boe as its new Global Ambassador for Black Opium, a refreshingly unexpected pick for one of luxury’s biggest fragrance franchises. The Gen Z actor (‘The Buccaneers,’ ‘13 Reasons Why’) embodies what YSL Beauty calls “the new BLACK OPIUM woman: magnetic, confident, main character energy.” In an AP interview about the campaign, Boe called the moment “very surreal” and joked that she hopes “all her exes” see the billboards.

Gourmand is a relatively young fragrance category, often traced back to Mugler’s groundbreaking 1992 release Angel, whose dessert-inspired scent profile transformed what luxury perfume could smell like. More than three decades later, gourmand has become one of fragrance’s biggest categories.

Gen Z and Millennial shoppers are driving the momentum, with gourmands accounting for about 55 percent of new purchase intentions in younger demographics and nearly 42 percent of overall fragrance preferences, according to a Reanin report. Future Market Insights projects the gourmand market will grow from $32.5B in 2025 to $55B by 2035. Fragrance lovers are craving scents that smell good enough to eat and YSL Beauty is ready to serve.

Black Opium Pink Glaze drops on YSLBeautyUS.com and at Ulta on Aug. 23, with a nationwide release on Sept. 22.

#ysl #yslbeauty #alishaboe #perfume","perfumetok, ysl, yslbeauty, alishaboe, perfume",yslbeauty
diet_prada,https://www.instagram.com/p/Db5sT2UDpCQ/,2026-08-11 13:26:14,Image/Carousel,9091.0,658,,Death/tragedy,"Do you have big feelings about John Galliano?

When the Metropolitan Museum of Art announced John Galliano as the subject of next year’s Costume Institute exhibition, and by extension the Met Gala, the response was unusually complicated for the fashion press. Alongside acknowledgments of Galliano’s influence came reminders of the antisemitic tirades that ended his tenure at Dior in 2011, raising a familiar question: can fashion celebrate the work without rehabilitating the person?

That tension has followed Galliano through his return. After apologizing, undergoing treatment, and spending years largely outside fashion, he resurfaced at Maison Margiela in 2014. Over the next decade, he rebuilt his reputation through the clothes, culminating in an acclaimed 2024 Artisanal collection. But if that marked Galliano’s return, what’s happening now looks more like canonization.

Between the Met retrospective and his new relationship with Zara, which has produced custom looks for Stevie Nicks and Bad Bunny, Galliano is being reintroduced through two of fashion’s biggest institutions. His influence is difficult to dispute; so is the history that made him a pariah. Centering him puts both on display.

But when controversy reliably generates clicks, are institutions merely accepting the controversy that comes with Galliano, or counting on it? Accountability doesn’t require erasing someone’s work, but acknowledging it doesn’t require sanding down the parts that make its celebration uncomfortable.

The Met has navigated controversial legacies before. Its 2023 Karl Lagerfeld retrospective came four years after his death, when his influence could be examined alongside his inflammatory comments without functioning as a comeback vehicle. Galliano presents a different proposition: he’s alive, working, designing for Zara, and once again at fashion’s center.

A retrospective is ostensibly about looking backward, but Galliano’s arrives as his next chapter is being written, and inevitably helps write it. So is revisiting Galliano’s past an inability to let him move beyond it, or exactly what accountability looks like when an industry decides someone deserves another turn at the center?",,
diet_prada,https://www.instagram.com/p/Dbtai46n5Jh/,2026-08-06 19:00:07,Image/Carousel,3195.0,160,,Brand launch/drop/store/pop-up,"#FXPartner • Set in 1981, @TheShardsFX captures a moment when the style of the ‘70s lingered as the defining look of the ‘80s began to emerge. “[Ryan Murphy] really wanted to lean on 1979 into the early ‘80s and not do what everybody thinks of as typical eighties,” costume producer and co-executive producer Lou Eyrich said. With the launch of MTV alongside era-defining albums and films, 1981 served as both a stylistic and cultural crossroads that informed the costume department.

Rather than defining each character through an era-specific cliché or brand, costume designer Joshua Marsh explained that the team focused on “iconography and archetypes and thinking about these being the most elevated version of the tropes for each character.” Each character’s wardrobe became a visual representation of their interests and personality, and though they all possess distinct qualities, the throughline is prep.

Preppy style predates 1981; however, its visual language was solidified the year prior with the publication of The Official Preppy Handbook. Though the book was originally intended as a satirical jab at a niche subculture, as Marsh notes, “it became culture itself.” Marsh continues, “It can look incredible on so many different kinds of individuals, and it can always elevate so many different body types and personalities to this kind of classic, iconic look.” Alongside Ralph Lauren, The Official Preppy Handbook became a key reference point for the costume department, while the aesthetic helped establish the sense of maturity that radiates from these teenagers.

For these characters, dressing preppy became another way to perform adulthood. As Marsh explains, “I think one of the reasons that they feel so adult is that they are essentially living as adults. They’re these wealthy kids at this prep school in LA, but there’s no parents around ever…they’re just living free.”

Swipe through for a closer look at how each character’s wardrobe tells their story.

The Shards is now streaming on Hulu.

#theshards #breteastonellis #ryanmurphy #tv","fxpartner, theshards, breteastonellis, ryanmurphy, tv",theshardsfx
diet_prada,https://www.instagram.com/p/Dbq1rMtHwoY/,2026-08-05 18:59:27,Image/Carousel,10756.0,269,,Celebrity styling/endorsement/campaign,"The kids who thought they’d rule senior year have absolutely no idea what’s coming 👀 #FXPartner. @TheShardsFX premieres tonight on FX and Hulu.

#theshards #breteastonellis #ryanmurphy #tv","fxpartner, theshards, breteastonellis, ryanmurphy, tv",theshardsfx
